11,5,12:07:59 14/03/2022,-76
11,2,12:08:00 14/03/2022,-79
11,2,12:08:10 14/03/2022,-79
11,5,12:08:10 14/03/2022,-74
11,10,12:08:19 14/03/2022,-77
11,2003,12:10:00 14/03/2022,-82
11,1008,12:10:10 14/03/2022,-80
11,2003,12:10:20 14/03/2022,-77
11,1008,12:10:30 14/03/2022,-80
11,2003,12:10:30 14/03/2022,-76
11,2003,12:10:40 14/03/2022,-74
11,2003,12:10:50 14/03/2022,-75
11,1008,12:11:00 14/03/2022,-79
11,1003,12:11:20 14/03/2022,-81
11,1008,12:11:50 14/03/2022,-76
11,1003,12:11:50 14/03/2022,-78
11,1003,12:12:00 14/03/2022,-79
11,1008,12:12:00 14/03/2022,-77
11,2003,12:12:30 14/03/2022,-80
11,2003,12:12:40 14/03/2022,-80
11,1003,12:13:10 14/03/2022,-80
11,1008,12:13:20 14/03/2022,-81
11,2003,12:13:40 14/03/2022,-79
11,2003,12:13:50 14/03/2022,-78
11,2003,12:14:00 14/03/2022,-77
11,1008,12:14:10 14/03/2022,-80
11,2003,12:14:10 14/03/2022,-77
11,1003,12:14:10 14/03/2022,-81
11,2003,12:14:20 14/03/2022,-79
11,2003,12:14:30 14/03/2022,-81
11,2003,12:14:40 14/03/2022,-79
11,2003,12:14:50 14/03/2022,-80
11,2003,12:15:00 14/03/2022,-80
11,2003,12:15:10 14/03/2022,-79
11,2003,12:15:20 14/03/2022,-80
11,2003,12:15:30 14/03/2022,-81
11,2003,12:15:40 14/03/2022,-80
11,2003,12:16:10 14/03/2022,-78
11,2001,12:16:40 14/03/2022,-80
11,2003,12:16:40 14/03/2022,-79
11,2003,12:17:00 14/03/2022,-80
11,2001,12:17:20 14/03/2022,-80
11,2003,12:17:40 14/03/2022,-78
11,2001,12:17:40 14/03/2022,-80
11,2003,12:17:50 14/03/2022,-78
11,2001,12:17:50 14/03/2022,-81
11,2003,12:18:00 14/03/2022,-79
11,2003,12:18:10 14/03/2022,-80
11,5,12:39:20 14/03/2022,-76
11,5,12:39:30 14/03/2022,-76
11,5,12:39:40 14/03/2022,-77
11,10,12:39:50 14/03/2022,-81
11,5,12:39:50 14/03/2022,-77
